n_estimators,max_depth,max_features,oob
10,5,auto,0.6849628444923569
10,5,sqrt,0.45702228514857957
10,10,auto,0.6976121930376205
10,10,sqrt,0.6190193447034842
10,20,auto,0.6907676096942379
10,20,sqrt,0.6968826406314975
20,5,auto,0.6930857511866904
20,5,sqrt,0.5033461631208471
20,10,auto,0.7062800415601224
20,10,sqrt,0.6581402756420011
20,20,auto,0.7143859668297653
20,20,sqrt,0.7227625740971007
50,5,auto,0.6934188652646133
50,5,sqrt,0.5204938212532935
50,10,auto,0.707070621143947
50,10,sqrt,0.6608500543757538
50,20,auto,0.7226827873903687
50,20,sqrt,0.7313456662501181
100,5,auto,0.6935133538797089
100,5,sqrt,0.5301798914520404
100,10,auto,0.7072859671442285
100,10,sqrt,0.6611003139651855
100,20,auto,0.7251636269159658
100,20,sqrt,0.7342124799492593
